Snack Name,Brand,Snack Category,Snack Type,Plant-Based,Units Sold (in Millions),Revenue (in Millions)
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,9.16,8.97
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.57,14.24
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,10.32,8.35
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.07,13.12
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,14.5,13.08
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.76,8.91
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.26,10.8
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.81,8.84
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.75,16.26
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,9.29,8.86
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,6.4,6.38
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,11.17,13.71
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.05,7.77
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,7.98,6.56
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,9.65,12.23
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,13.84,13.82
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,9.06,11.36
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.41,5.62
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,6.27,5.46
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,9.79,12.53
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.86,9.03
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,9.91,12.85
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,9.56,11.77
Snickers,Mars,Chocolate,Sweet,No,10.25,8.96
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,7.73,8.98
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.35,8.46
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,14.02,13.96
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.88,11.37
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.29,15.93
Snickers,Mars,Chocolate,Sweet,No,14.21,12.47
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,12.27,10.3
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,10.77,14.53
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,11.37,13.71
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,11.14,11.13
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.86,12.13
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,14.2,20.34
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,5.75,5.2
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.22,15.87
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.56,10.85
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.18,9.83
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,15.86,20.38
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,7.25,6.6
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,11.27,10.79
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.26,8.06
Snickers,Mars,Chocolate,Sweet,No,10.22,8.94
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,8.34,9.55
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,9.32,7.8
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.11,7.8
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.11,5.2
Snickers,Mars,Chocolate,Sweet,No,12.25,10.93
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,8.7,6.75
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,5.43,5.0
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.88,8.12
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.42,17.02
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.0,9.47
Snickers,Mars,Chocolate,Sweet,No,13.79,11.7
Snickers,Mars,Chocolate,Sweet,No,8.13,7.26
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,16.16,21.59
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,7.17,7.1
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.7,7.9
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.64,10.78
Snickers,Mars,Chocolate,Sweet,No,11.07,9.41
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,9.36,7.51
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.23,11.35
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,7.71,6.62
Snickers,Mars,Chocolate,Sweet,No,10.58,10.05
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,8.59,7.5
Snickers,Mars,Chocolate,Sweet,No,9.22,8.37
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.51,11.05
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,7.16,7.38
Snickers,Mars,Chocolate,Sweet,No,9.31,8.63
Snickers,Mars,Chocolate,Sweet,No,11.06,9.98
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,13.4,15.61
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,13.14,10.92
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,7.58,6.98
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,8.15,7.12
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.34,16.1
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,9.21,9.78
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.94,17.76
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,13.24,15.63
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,7.3,6.43
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,8.11,11.45
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.4,9.93
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,6.35,7.63
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.83,10.46
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,7.46,7.72
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,13.09,16.4
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,11.48,13.46
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.2,14.96
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.55,9.68
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.83,8.41
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,10.75,8.43
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,7.2,6.86
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,7.12,5.97
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,10.85,8.59
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,10.68,10.05
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,11.64,13.44
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,12.5,11.0
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,7.49,6.06
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,8.2,6.71
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,14.0,12.18
Snickers,Mars,Chocolate,Sweet,No,12.2,10.9
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,17.42,25.26
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,12.15,10.43
Snickers,Mars,Chocolate,Sweet,No,12.94,13.34
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,13.59,16.17
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,9.38,11.76
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.32,9.89
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.78,11.59
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,13.58,16.78
Snickers,Mars,Chocolate,Sweet,No,12.83,11.31
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,9.78,12.98
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.29,14.94
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.76,9.27
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.52,9.33
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.41,10.11
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.62,9.97
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,12.03,10.32
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.4,12.12
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,13.85,19.22
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.44,10.17
Snickers,Mars,Chocolate,Sweet,No,10.75,9.39
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,13.25,17.06
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.25,8.52
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.39,10.46
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,5.35,4.6
Snickers,Mars,Chocolate,Sweet,No,15.0,11.56
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,8.99,10.08
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,9.82,9.23
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.29,11.61
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,13.17,16.66
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.6,11.6
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,16.05,20.96
Snickers,Mars,Chocolate,Sweet,No,9.19,8.35
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.13,15.42
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.76,8.25
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,8.11,7.19
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.46,14.17
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.78,8.22
Snickers,Mars,Chocolate,Sweet,No,10.67,9.42
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.1,8.89
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,9.14,8.35
Snickers,Mars,Chocolate,Sweet,No,8.6,7.59
Snickers,Mars,Chocolate,Sweet,No,13.37,11.65
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,9.88,9.86
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.41,16.71
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,15.24,13.81
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,14.93,13.09
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,6.13,6.25
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.51,13.94
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.9,6.57
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.49,15.54
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,10.64,15.02
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,16.41,14.28
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,8.88,7.57
Snickers,Mars,Chocolate,Sweet,No,12.15,11.08
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,5.29,4.91
Snickers,Mars,Chocolate,Sweet,No,8.17,8.06
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.83,17.23
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,7.2,6.6
Snickers,Mars,Chocolate,Sweet,No,15.24,12.05
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.88,5.97
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.19,11.08
Snickers,Mars,Chocolate,Sweet,No,8.72,7.82
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.51,7.82
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.68,9.61
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.16,9.99
Snickers,Mars,Chocolate,Sweet,No,10.0,8.86
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.53,9.53
Snickers,Mars,Chocolate,Sweet,No,10.78,9.78
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.74,6.13
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,11.53,13.33
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,11.34,12.05
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,10.54,14.04
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.98,11.17
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,8.05,9.83
Snickers,Mars,Chocolate,Sweet,No,6.47,5.77
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.32,11.4
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,12.23,10.92
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,10.88,8.94
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.38,10.66
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.77,11.9
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,7.8,10.72
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.97,10.98
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,17.85,23.69
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.42,8.87
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,11.83,11.99
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,8.81,11.64
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,9.26,12.85
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,12.06,9.58
Snickers,Mars,Chocolate,Sweet,No,7.03,5.77
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,15.37,12.65
Snickers,Mars,Chocolate,Sweet,No,8.33,7.13
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,5.38,5.24
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,7.38,9.84
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.95,8.89
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,9.53,9.46
Snickers,Mars,Chocolate,Sweet,No,13.46,12.43
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,7.86,7.58
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.93,6.47
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.08,5.6
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.86,8.72
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,5.99,7.64
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,12.69,10.29
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.69,12.52
Snickers,Mars,Chocolate,Sweet,No,12.32,11.3
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,7.26,7.56
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.73,12.52
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,11.97,12.08
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.42,9.1
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,10.77,9.04
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,7.76,7.72
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,14.61,17.48
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,7.23,6.72
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,10.66,14.31
Snickers,Mars,Chocolate,Sweet,No,10.24,8.96
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,7.83,7.14
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,11.21,10.48
Snickers,Mars,Chocolate,Sweet,No,10.9,10.22
Snickers,Mars,Chocolate,Sweet,No,9.87,9.0
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.33,10.55
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.85,9.91
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.44,12.2
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.47,16.5
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,11.51,10.88
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,15.19,13.33
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,14.45,13.03
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,14.33,11.5
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.33,12.2
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,13.95,16.31
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,12.04,10.33
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,14.24,18.17
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,12.48,11.98
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,11.18,13.25
Snickers,Mars,Chocolate,Sweet,No,10.31,9.32
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.61,10.8
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.67,11.1
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.86,8.85
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,15.86,17.6
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,9.93,10.22
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.68,10.73
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,11.74,10.75
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.27,5.78
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.61,16.78
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,7.83,7.73
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,15.54,12.76
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,13.56,17.42
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.1,11.72
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,11.06,13.74
Snickers,Mars,Chocolate,Sweet,No,7.07,6.27
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,11.53,14.43
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.28,11.9
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,6.65,8.58
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,7.32,6.64
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,12.71,11.56
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.71,10.73
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,9.86,10.6
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.41,16.02
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.12,10.29
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,10.86,14.21
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,8.6,10.64
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,11.04,13.48
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,13.82,19.06
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,14.7,20.9
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.89,11.77
Snickers,Mars,Chocolate,Sweet,No,13.64,12.83
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.65,17.44
Snickers,Mars,Chocolate,Sweet,No,5.94,5.35
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,7.84,7.43
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,12.09,13.16
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,14.51,12.35
